"Sexe","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Ancienneté_an","Service","Work_accident","Niveau de satisfaction"
"H","CDI",35,6494.3667,1,0,0,6,"Informatique","Oui",30
"F","CDI",35,6413.9833,24,1,0,7.2,"Consultant","Non",72
"H","CDI",35,6409.4333,21,0,0,7.1,"Consultant","Non",80
"H","CDI",35,6398.8167,11,1,0,7,"Consultant","Non",68
"F","CDI",35,6356.35,26,1,0,4.2,"Informatique","Non",4
"F","CDI",35,6301.75,34,0,0,9.7,"Consultant","Non",39
"F","CDI",35,6212.2667,5,1,0,4.6,"Commercial","Non",3
"H","CDI",35,6195.5833,23,0,1,13.1,"Commercial","Non",56
"H","CDI",24,6178.64,17,0,0,23.3,"Informatique","Non",57
"H","CDI",35,6175.8667,38,0,0,9.7,"RH","Non",29
"F","CDI",35,6163.7333,16,1,1,23.9,"Commercial","Non",38
"F","CDI",35,6127.3333,0,1,1,14.3,"Compta Finances","Non",94
"H","CDI",35,6121.2667,32,0,0,20.5,"Commercial","Oui",7
"H","CDI",35,6043.9167,3,1,0,16.9,"Consultant","Non",36
"H","CDI",35,6031.7833,39,1,0,19.2,"Commercial","Oui",74
"H","CDI",35,6002.9667,2,1,0,22.8,"Marketing","Oui",70
"H","CDI",35,5984.7667,6,0,0,24.9,"Commercial","Non",17
"F","CDI",24,5951.92,32,1,0,8.2,"Marketing","Non",1
"H","CDI",35,5949.8833,17,1,0,16.2,"Commercial","Non",41
"H","CDI",35,5930.1667,33,0,0,5.9,"Marketing","Non",37
"F","CDI",24,5895.76,23,1,0,22.4,"Commercial","Non",15
"H","CDI",35,5810.35,36,1,0,5.8,"Consultant","Non",94
"H","CDI",35,5805.8,37,0,0,21.1,"Commercial","Non",15
"H","CDI",35,5749.6833,17,0,0,13.8,"Commercial","Non",19
"F","CDI",35,5739.0667,6,1,1,24.7,"Consultant","Non",51
"H","CDI",24,5724.16,15,1,0,18.6,"Compta Finances","Non",100
"F","CDI",35,5585.8833,17,1,0,15.7,"Consultant","Non",50
"F","CDI",35,5581.3333,20,1,1,23.9,"Commercial","Oui",86
"F","CDI",35,5522.1833,9,1,0,5.9,"RH","Non",7
"H","CDI",35,5517.6333,23,1,1,23.3,"Marketing","Non",81
"H","CDI",35,5464.55,34,0,0,10.5,"Commercial","Non",47
"H","CDI",24,5462.08,39,0,0,7.5,"Marketing","Non",25
"H","CDI",35,5455.45,7,0,0,19,"Consultant","Non",8
"H","CDI",24,5448.56,30,0,0,7.3,"Consultant","Non",51
"F","CDI",35,5388.7167,30,1,0,8.4,"Consultant","Non",51
"H","CDI",35,5359.9,4,1,0,15.7,"RH","Non",80
"F","CDI",35,5293.1667,39,0,0,18.6,"RH","Non",30
"H","CDI",35,5212.7833,11,0,0,4.2,"Informatique","Non",32
"F","CDI",35,5106.6167,10,0,0,9.8,"RH","Non",77
"H","CDI",28,5097.2133,10,1,0,9.3,"Consultant","Non",62
"F","CDI",35,5092.9667,11,1,0,23.1,"Commercial","Non",31
"F","CDI",35,5076.2833,33,0,0,4.4,"RH","Non",20
"F","CDI",35,5067.1833,39,1,0,15.1,"RH","Non",55
"F","CDI",35,5056.5667,24,1,0,16.2,"RH","Non",46
"H","CDI",35,5035.3333,24,0,0,24,"RH","Non",95
"H","CDI",35,4988.3167,8,0,0,22.2,"Compta Finances","Non",52
"F","CDI",24,4974.32,32,0,0,11.8,"Commercial","Oui",66
"F","CDI",24,4882.8,17,1,0,9.9,"Commercial","Non",1
"F","CDI",24,4851.6,14,0,0,20.6,"RH","Non",11
"H","CDI",24,4795.44,19,0,1,5.6,"Consultant","Non",33
"F","CDI",35,4763.85,7,1,0,10.8,"Marketing","Non",73
"F","CDI",35,4712.2833,26,1,0,12,"Consultant","Non",46
"F","CDI",35,4663.75,5,0,0,24.4,"Informatique","Oui",32
"H","CDI",35,4624.3167,15,0,0,10.2,"Marketing","Non",92
"F","CDI",35,4563.65,38,1,0,16.2,"Marketing","Oui",51
"F","CDI",35,4516.6333,34,1,0,17.4,"Consultant","Non",90
"H","CDI",35,4499.95,22,1,0,5.8,"RH","Non",46
"H","CDI",35,4449.9,33,1,0,2.9,"Consultant","Non",2
"F","CDI",35,4424.1167,30,0,0,24.2,"Marketing","Non",29
"H","CDI",35,4421.0833,6,1,1,14.2,"Compta Finances","Non",28
"H","CDI",35,4296.7167,39,0,0,10.8,"Consultant","Non",39
"F","CDI",35,4289.1333,12,0,1,12.6,"Consultant","Non",82
"H","CDI",35,4281.55,13,1,0,8.3,"Consultant","Non",50
"H","CDI",35,4263.35,31,0,0,15.7,"Compta Finances","Non",48
"F","CDI",35,4204.2,39,1,0,9.3,"Compta Finances","Non",4
"F","CDI",35,4198.1333,34,1,0,4.8,"Compta Finances","Non",14
"H","CDI",24,4165.2,12,0,0,22.6,"Informatique","Non",41
"F","CDI",35,4152.6333,7,1,0,15.8,"Commercial","Oui",60
"H","CDI",35,4134.4333,22,0,0,22.8,"Consultant","Non",34
"F","CDI",24,4117.36,8,1,0,6.7,"RH","Non",35
"F","CDI",35,4082.8667,28,0,0,22.3,"Marketing","Non",74
"H","CDI",35,4022.2,14,0,0,15.6,"Marketing","Non",37
"F","CDI",35,4013.1,12,0,0,8.1,"Compta Finances","Non",93
"H","CDI",35,4000.9667,40,1,0,24.2,"Consultant","Non",60
"H","CDI",35,3891.7667,32,0,0,7.2,"Consultant","Non",13
"H","CDI",35,3882.6667,1,0,1,11.8,"RH","Non",49
"F","CDI",24,3853.2,9,1,1,24.8,"Compta Finances","Non",47
"F","CDI",35,3835.65,26,0,0,14.9,"RH","Non",99
"H","CDI",35,3803.8,30,0,0,20.4,"RH","Non",39
"F","CDI",35,3800.7667,9,1,1,24.7,"Commercial","Non",61
"F","CDI",35,3797.7333,24,0,0,23.9,"RH","Non",29
"F","CDI",35,3705.2167,29,1,0,13,"RH","Oui",62
"H","CDD",35,3693.0833,24,0,0,0.3,"Marketing","Non",25
"H","CDI",35,3677.9167,33,0,1,22.6,"Commercial","Non",95
"H","CDI",35,3655.1667,33,0,0,19.3,"Marketing","Non",69
"F","CDD",35,3640,6,0,0,1.1,"Marketing","Non",96
"F","CDI",35,3597.5333,32,1,0,16.8,"Marketing","Non",38
"H","CDI",35,3582.3667,30,1,0,22.4,"Marketing","Non",81
"F","CDI",35,3547.4833,39,1,0,11.7,"Consultant","Non",1
"H","CDI",35,3508.05,11,0,1,24,"RH","Non",92
"H","CDI",35,3486.8167,19,0,0,3.1,"RH","Non",65
"H","CDI",35,3462.55,3,1,0,20.6,"Marketing","Oui",99
"F","CDI",35,3459.5167,30,0,0,10.3,"Consultant","Non",25
"H","CDI",35,3436.7667,27,1,0,10.3,"Compta Finances","Non",44
"H","CDI",35,3383.6833,23,0,0,17.2,"Compta Finances","Non",56
"H","CDI",35,3335.15,28,1,0,7.5,"RH","Non",90
"F","CDI",35,3260.8333,30,1,0,17,"Commercial","Non",42
"F","CDI",35,3256.2833,34,0,0,8.8,"Marketing","Non",25
"H","CDI",35,3232.0167,35,0,0,24.4,"Consultant","Non",36
"F","CDI",35,3218.3667,27,1,0,19.3,"RH","Non",23
"F","CDD",35,3201.6833,38,,0,0.8,"Compta Finances","Non",45
"F","CDD",35,3185,3,0,0,1.7,"Commercial","Non",58
"F","CDD",35,3168.3167,10,0,0,1.4,"Consultant","Non",18
"F","CDI",35,3165.2833,0,0,0,6.8,"Commercial","Oui",67
"F","CDI",24,3116.88,37,0,0,8.2,"RH","Non",48
"F","CDI",35,3097.0333,13,0,0,25,"Consultant","Non",19
"F","CDI",24,3060.72,6,0,0,19.5,"RH","Non",73
"F","CDD",35,3033.3333,8,0,0,0.4,"Consultant","Non",24
"F","CDI",35,3012.1,19,1,0,16.2,"RH","Non",15
"H","CDI",35,2998.45,21,1,0,8.2,"Marketing","Non",22
"F","CDI",35,2928.6833,33,1,1,5.3,"Commercial","Oui",97
"H","CDI",35,2918.0667,39,1,0,21.2,"Consultant","Non",89
"F","CDI",35,2916.55,35,1,0,10.2,"Commercial","Non",98
"F","CDI",35,2912,35,0,1,4.2,"Marketing","Non",40
"F","CDD",35,2881.6667,27,0,0,1.9,"Commercial","Non",76
"H","CDD",35,2848.3,15,1,0,3.3,"Informatique","Oui",81
"H","CDI",35,2843.75,2,0,0,12.5,"Consultant","Non",69
"H","CDI",35,2834.65,15,1,0,6.2,"Consultant","Non",24
"H","CDI",35,2828.5833,21,0,0,24.2,"Commercial","Non",86
"H","CDI",28,2813.72,8,1,0,13.3,"Consultant","Non",9
"H","CDI",35,2777.0167,10,1,0,23.5,"Consultant","Non",66
"H","CDI",35,2769.4333,33,0,0,18.9,"Compta Finances","Oui",89
"H","CDI",35,2767.9167,6,1,0,9.2,"RH","Non",88
"H","CDI",24,2735.2,27,0,0,21.2,"RH","Non",47
"F","CDI",35,2731.5167,4,1,0,16.2,"Consultant","Non",3
"H","CDI",35,2675.4,20,1,0,3.4,"Consultant","Non",60
"H","CDI",35,2604.1167,32,1,0,20.5,"Compta Finances","Non",70
"H","CDI",35,2561.65,13,0,0,17.4,"Consultant","Non",68
"H","CDD",35,2558.6167,22,0,0,1.8,"Consultant","Oui",59
"H","CDI",35,2511.6,21,0,0,9.2,"Commercial","Oui",79
"F","CDI",24,2507.44,18,1,1,16.2,"RH","Non",98
"F","CDD",32,2496,21,0,0,1.3,"Consultant","Oui",6
"F","CDD",35,2426.6667,21,0,0,0.6,"Marketing","Oui",70
"H","CDI",35,2396.3333,11,0,0,21.6,"Commercial","Oui",62
"F","CDI",35,2369.0333,20,0,0,12.8,"Commercial","Non",52
"H","CDD",32,2357.3333,12,0,0,1.2,"Consultant","Non",100
"F","CDI",35,2309.8833,23,0,0,8.2,"Commercial","Non",63
"F","CDD",35,2226.4667,2,0,0,1.1,"Consultant","Non",81
"F","CDI",35,2132.4333,18,1,1,3.2,"Consultant","Non",60
"F","CDD",35,2123.3333,39,0,0,1.8,"Compta Finances","Non",84
"F","CDI",35,2079.35,7,1,1,13.7,"Compta Finances","Oui",40
"F","CDI",35,2073.2833,28,0,0,21.1,"Consultant","Non",59
"F","CDI",35,2070.25,34,0,0,3.8,"Commercial","Non",58
"F","CDI",35,2070.25,24,1,0,9.3,"Consultant","Non",95
"H","CDI",24,2055.04,12,0,0,13.2,"Consultant","Non",37
"F","CDI",35,2052.05,13,,0,5.3,"Compta Finances","Non",12
"F","CDI",35,2027.7833,19,0,0,6.6,"Consultant","Non",92
"H","CDI",35,2024.75,4,1,0,14.2,"Consultant","Non",42
"F","CDI",35,2008.0667,35,1,0,3.5,"Compta Finances","Non",44
"H","CDD",35,1989.8667,5,0,0,1.4,"Marketing","Non",19
"H","CDI",35,1979.25,6,1,0,5.5,"Compta Finances","Non",31
"F","CDD",35,1920.1,17,1,0,1.1,"Compta Finances","Non",18
"H","CDI",35,1873.0833,27,0,0,12.2,"Consultant","Non",45
"F","CDI",35,1863.9833,12,1,0,2.5,"Marketing","Non",67
"H","CDI",28,1851.5467,19,0,0,23.7,"Consultant","Non",15
"H","CDI",35,1835.1667,6,0,0,19,"Compta Finances","Non",15
"H","CDI",35,1833.65,8,0,1,8.2,"Compta Finances","Non",17
"H","CDI",35,1803.3167,8,1,0,4.4,"Consultant","Non",81
"F","CDI",35,1774.5,16,1,0,5.5,"Consultant","Non",47
"H","CDI",35,1772.9833,20,1,1,16.4,"Compta Finances","Non",44
"H","CDI",24,1709.76,10,1,1,10.3,"Consultant","Non",87
"F","CDI",35,1703.2167,39,1,0,5.7,"Consultant","Non",87
"H","CDI",35,1697.15,17,1,0,21.7,"Consultant","Non",98
"H","CDI",35,1669.85,22,1,0,12.4,"Marketing","Non",32
"H","CDI",35,1651.65,18,0,0,17.1,"Consultant","Non",69
"F","CDI",35,1598.5667,18,0,1,14,"Marketing","Non",40
"H","CDI",35,1590.9833,30,1,1,14.9,"Commercial","Non",62
"H","CDI",24,1110.72,14,1,0,6.3,"Consultant","Non",30
"F","CDI",24,1059.76,1,0,1,11.9,"Compta Finances","Non",68
